id,categoria,pregunta,respuesta,contexto
20,Medicamentos,¿Cuándo está contraindicado el enalapril?,En el embarazo y en la estenosis bilateral de arterias renales.,El enalapril está contraindicado en el embarazo y en la estenosis bilateral de arterias renales.
21,Medicamentos,¿Qué efectos adversos tiene el enalapril?,Tos seca e hiperpotasemia son los más frecuentes.,Los efectos adversos más frecuentes del enalapril son la tos seca y la hiperpotasemia.
22,Medicamentos,¿Cuál es la dosis del bisoprolol en insuficiencia cardíaca?,Dosis inicial de 1.25 mg al día titulando hasta 10 mg al día.,"La dosis inicial del bisoprolol en insuficiencia cardíaca es de 1.25 mg al día, titulando hasta 10 mg al día."
23,Medicamentos,¿Cuándo están contraindicados los betabloqueantes?,En el asma grave y el bloqueo auriculoventricular de segundo y tercer grado.,Los betabloqueantes están contraindicados en el asma grave y el bloqueo AV de segundo y tercer grado.
24,Medicamentos,¿Qué es la atorvastatina y cuál es su dosis?,Estatina para reducir el colesterol LDL en prevención cardiovascular. Dosis de 10 a 80 mg al día por la noche.,"La atorvastatina reduce el colesterol LDL y se usa en prevención cardiovascular primaria y secundaria. Las dosis van de 10 a 80 mg al día, administrada por la noche."
25,Medicamentos,¿Qué efectos adversos pueden producir las estatinas?,"Mialgias y, raramente, rabdomiólisis.","Las estatinas pueden producir mialgias y, raramente, rabdomiólisis."
26,Medicamentos,¿Cómo se usa la aspirina en cardiología?,A dosis de 100 mg al día como antiagregante de primera línea en prevención de eventos cardiovasculares.,La aspirina en dosis de 100 mg al día es el antiagregante de primera línea en prevención de eventos cardiovasculares.
27,Medicamentos,¿Qué es el clopidogrel y cuándo se usa?,"Antiagregante a dosis de 75 mg al día, alternativa o combinación con aspirina tras síndrome coronario agudo o implante de stent.",El clopidogrel se usa a dosis de 75 mg al día como alternativa o en combinación con aspirina tras síndrome coronario agudo o implante de stent.
28,Medicamentos,¿Qué ventaja tiene el ticagrelor sobre el clopidogrel?,Mayor potencia antiagregante. Se administra a 90 mg dos veces al día en el síndrome coronario agudo.,"El ticagrelor se administra a 90 mg dos veces al día en el síndrome coronario agudo, con mayor potencia antiagregante que el clopidogrel."
29,Medicamentos,¿Cómo se usa la furosemida en insuficiencia cardíaca?,Por vía oral de 20 a 500 mg al día. Por vía intravenosa en el edema agudo de pulmón a dosis de 40 a 80 mg en bolo.,La furosemida es el diurético de asa de elección en insuficiencia cardíaca. Las dosis orales van de 20 a 500 mg al día. Por vía intravenosa se usa en el edema agudo de pulmón a dosis de 40 a 80 mg en bolo.
30,Medicamentos,¿Qué es la espironolactona y para qué se usa en cardiología?,Diurético ahorrador de potasio que a dosis de 25 a 50 mg al día reduce la mortalidad en insuficiencia cardíaca con fracción de eyección reducida.,La espironolactona a dosis de 25 a 50 mg al día reduce la mortalidad en insuficiencia cardíaca con fracción de eyección reducida.
31,Medicamentos,¿Cómo se usa la amiodarona?,"Dosis de carga de 200 mg tres veces al día durante una semana, seguida de 200 mg al día de mantenimiento. Requiere monitorización tiroidea, hepática y pulmonar.","La amiodarona es el antiarrítmico más eficaz disponible. La dosis de carga es de 200 mg tres veces al día durante una semana, seguida de 200 mg al día de mantenimiento."
32,Medicamentos,¿Cómo se usa la nitroglicerina sublingual en la angina?,"0.4 mg sublingual, repetible cada 5 minutos hasta tres veces. Si el dolor persiste tras tres dosis, sospechar infarto agudo de miocardio.","La nitroglicerina sublingual se administra en la angina aguda a dosis de 0.4 mg, repetible cada 5 minutos hasta tres veces. Si el dolor persiste tras tres dosis, se debe sospechar infarto agudo de miocardio."
33,Medicamentos,¿Cuál es la dosis de digoxina y qué hay que vigilar?,De 0.125 a 0.25 mg al día. Requiere monitorización de niveles plasmáticos por su estrecho margen terapéutico.,La dosis habitual de digoxina es de 0.125 a 0.25 mg al día. Requiere monitorización de niveles plasmáticos por su estrecho margen terapéutico.
34,Medicamentos,¿Qué son el apixabán y el rivaroxabán?,Anticoagulantes orales de acción directa indicados en fibrilación auricular no valvular para prevenir el ictus. El apixabán se administra a 5 mg dos veces al día.,El apixabán y el rivaroxabán son anticoagulantes orales de acción directa indicados en la fibrilación auricular no valvular para prevenir el ictus. El apixabán se administra a 5 mg dos veces al día.
35,Protocolos,¿Cuál es el protocolo del síndrome coronario agudo sin elevación del ST?,"Aspirina 300 mg y clopidogrel 300 mg o ticagrelor 180 mg de carga, anticoagulación con heparina, monitorización continua, troponinas seriadas a las 0, 3 y 6 horas, y cateterismo según el riesgo.","El protocolo del SCASEST incluye: administrar aspirina 300 mg y clopidogrel 300 mg o ticagrelor 180 mg de carga, anticoagulación con heparina no fraccionada o enoxaparina, monitorización continua, troponinas seriadas a las 0, 3 y 6 horas, y cateterismo cardíaco urgente o diferido según el riesgo."
36,Protocolos,¿En cuánto tiempo debe realizarse la angioplastia primaria en el SCACEST?,En menos de 90 minutos desde el primer contacto médico.,En el SCACEST la reperfusión con angioplastia primaria debe realizarse en menos de 90 minutos desde el primer contacto médico.
37,Protocolos,¿Cómo se realiza la RCP básica?,30 compresiones torácicas por cada 2 ventilaciones a ritmo de 100-120 por minuto con una profundidad de 5 a 6 centímetros.,La reanimación cardiopulmonar comienza con 30 compresiones torácicas por cada 2 ventilaciones a ritmo de 100 a 120 compresiones por minuto con una profundidad de 5 a 6 centímetros.
38,Protocolos,¿Qué energía se usa en la desfibrilación?,200 julios bifásico.,"En el ritmo desfibrilable se aplica desfibrilación con 200 julios bifásico lo antes posible, seguida de dos minutos de RCP."
39,Protocolos,¿Qué dosis de adrenalina se usa en la parada cardiorrespiratoria?,1 mg intravenosa cada 3 a 5 minutos.,La adrenalina 1 mg intravenosa se administra cada 3 a 5 minutos en la parada cardiorrespiratoria.
40,Protocolos,¿Cuándo y cómo se usa la amiodarona en la RCP?,300 mg intravenosa en la fibrilación ventricular refractaria a tres choques.,La amiodarona 300 mg intravenosa se usa en la fibrilación ventricular refractaria a tres choques.
41,Protocolos,¿Cómo se maneja la fibrilación auricular de nueva aparición?,Control de frecuencia con betabloqueantes o digoxina por debajo de 110 lpm. Cardioversión eléctrica con 150-200 julios si hay inestabilidad hemodinámica.,El protocolo de manejo de la fibrilación auricular de nueva aparición incluye control de frecuencia cardíaca con betabloqueantes o digoxina para mantenerla por debajo de 110 latidos por minuto. La cardioversión eléctrica sincronizada se realiza con 150 a 200 julios bifásicos si hay inestabilidad hemodinámica.
42,Protocolos,¿Qué es la escala CHA2DS2-VASc?,Escala que calcula el riesgo embólico en pacientes con fibrilación auricular para decidir la anticoagulación.,El riesgo embólico en la fibrilación auricular se calcula con la escala CHA2DS2-VASc.
43,Protocolos,¿Cuándo debe iniciarse la anticoagulación antes de la cardioversión en FA?,Cuando la fibrilación auricular lleva más de 48 horas o se desconoce su duración.,La anticoagulación debe iniciarse antes de la cardioversión si la fibrilación auricular lleva más de 48 horas o se desconoce su duración.
44,Protocolos,¿Cuál es el protocolo de la insuficiencia cardíaca aguda descompensada?,"Posición semisentada, oxígeno para saturación superior al 94%, furosemida IV 40-80 mg, nitroglicerina IV si TAS mayor de 90 mmHg, y monitorización continua.","El protocolo de insuficiencia cardíaca aguda descompensada incluye posición semisentada, oxígeno para mantener saturación superior al 94%, furosemida intravenosa 40 a 80 mg, nitroglicerina intravenosa si la presión arterial sistólica es mayor de 90 mmHg, y monitorización continua."
45,Protocolos,¿Cómo se distingue la urgencia de la emergencia hipertensiva?,La urgencia hipertensiva es tensión mayor de 180/120 mmHg sin daño orgánico agudo. La emergencia hipertensiva incluye daño orgánico agudo y requiere reducción en menos de una hora.,La urgencia hipertensiva con presión arterial mayor de 180/120 mmHg sin daño orgánico agudo se trata con captopril 25 mg sublingual o labetalol oral. La emergencia hipertensiva con daño orgánico agudo requiere reducción de la presión arterial en menos de una hora.
46,Protocolos,¿Qué evalúa la escala GRACE en el síndrome coronario agudo?,"Edad, frecuencia cardíaca, presión arterial sistólica, creatinina, clase Killip, parada cardíaca al ingreso, desviación del ST y troponinas. Puntuación mayor de 140 indica alto riesgo.",La escala GRACE estratifica el riesgo en el síndrome coronario agudo. Una puntuación mayor de 140 indica alto riesgo y requiere cateterismo en menos de 24 horas.
47,Protocolos,¿Cuándo está indicado el implante de marcapasos definitivo?,"En el bloqueo auriculoventricular completo sintomático, el síndrome del seno enfermo con bradicardia sintomática y la bradicardia sinusal severa menor de 40 lpm sintomática.","El implante de marcapasos definitivo está indicado en el bloqueo auriculoventricular completo sintomático, el síndrome del seno enfermo con bradicardia sintomática y la bradicardia sinusal severa con frecuencia menor de 40 latidos por minuto sintomática."
48,Protocolos,¿Cuándo está indicado el desfibrilador automático implantable?,En pacientes con fracción de eyección menor del 35% a pesar de tratamiento médico óptimo durante al menos tres meses.,El desfibrilador automático implantable se indica en pacientes con fracción de eyección menor del 35% a pesar de tratamiento médico óptimo durante al menos tres meses.
49,Medicamentos,¿Cuál es la dosis de aspirina en el infarto agudo de miocardio?,"En el infarto agudo de miocardio se administran 300 mg de aspirina de carga, junto con ticagrelor 180 mg o clopidogrel 300 mg, más anticoagulación con heparina.","El protocolo del síndrome coronario agudo incluye: aspirina 300 mg y clopidogrel 300 mg o ticagrelor 180 mg de carga, anticoagulación con heparina no fraccionada o enoxaparina, y cateterismo cardíaco urgente según el riesgo."
50,Medicamentos,¿Qué dosis de aspirina se da en el síndrome coronario agudo?,300 mg de aspirina de carga combinada con ticagrelor 180 mg o clopidogrel 300 mg al inicio del síndrome coronario agudo.,"El protocolo del SCASEST incluye aspirina 300 mg y clopidogrel 300 mg o ticagrelor 180 mg de carga, más anticoagulación con heparina no fraccionada o enoxaparina."
51,Protocolos,¿Cómo se hace la reanimación cardiopulmonar RCP?,30 compresiones torácicas por cada 2 ventilaciones a 100-120 compresiones por minuto y 5-6 cm de profundidad. En fibrilación ventricular se desfibrilar con 200 julios.,La reanimación cardiopulmonar básica consiste en 30 compresiones torácicas por cada 2 ventilaciones a ritmo de 100 a 120 compresiones por minuto con una profundidad de 5 a 6 centímetros. En ritmo desfibrilable se aplica 200 julios bifásico.
52,Protocolos,¿Qué pasos seguir ante una parada cardiorrespiratoria?,"Iniciar compresiones torácicas 30:2, desfibrilar si hay fibrilación ventricular con 200 julios, adrenalina 1 mg cada 3-5 minutos y amiodarona 300 mg si refractaria a tres choques.","Ante parada cardiorrespiratoria: 30 compresiones por 2 ventilaciones, desfibrilación con 200 julios en ritmo desfibrilable, adrenalina 1 mg intravenosa cada 3 a 5 minutos, y amiodarona 300 mg en fibrilación ventricular refractaria a tres choques."
53,Medicamentos,dosis máxima del amlodipino,20 mg por día,La dosis máxima de Amlodipino es de 10 a 20 mg por día.
54,Síntomas,Sintomas de una insuficiencia cardiaca congestiva,"Disnea, fatiga al esfuerzo, edema de miembros inferiores","La insuficiencia cardiaca se caracteriza por una incapacidad del corazón para bombear la sangre. Esto provoca acumulación de líquido en los pulmones, en las piernas y los síntomas asociados como la disnea, los edemas y la fatiga."
55,Medicamentos,Dosis del Apixaban en la insuficiencia renal cronica,"2,5 mg dos veces al dia.","La dosis recomendada del Apixaban en la insuficiencia renal crónica es de 2,5 mg dos veces al día."
56,Síntomas,que sintomas me hacen pensar en infarto con dolor toracico,"Los síntomas que orientan a IAM son dolor torácico opresivo persistente, irradiación, sudoración, náuseas, disnea o síncope. No hay que esperar a que el cuadro sea “clásico”: ECG urgente y troponinas seriadas si se sospecha SCA.","En el síndrome coronario agudo, el dolor típico suele ser opresivo, retroesternal, prolongado y puede irradiar a brazo izquierdo, mandíbula, espalda o epigastrio. La guía ESC recomienda ECG de 12 derivaciones precoz y troponinas seriadas si no hay elevación persistente del ST."
57,Síntomas,"tengo un paciente con equivalentes anginosos, ¿qué busco?","Disnea brusca, cansancio extremo, náuseas, epigastralgia o síncope pueden ser equivalentes anginosos. En pacientes de riesgo, se debe hacer ECG y troponinas aunque no haya dolor típico.","En ancianos, mujeres, diabéticos y pacientes con insuficiencia renal, el SCA puede presentarse con disnea, fatiga, síncope, epigastralgia o malestar inespecífico. La ausencia de dolor torácico no descarta isquemia miocárdica."
58,Síntomas,¿cómo distingo dolor pleurítico de algo menos grave?,"El dolor pleurítico no es el patrón típico de infarto, pero no excluye patología grave. Hay que valorar pericarditis, embolia pulmonar, neumotórax y, si hay factores de riesgo, descartar SCA con ECG y biomarcadores.","El dolor torácico pleurítico, que aumenta con la inspiración o la tos, orienta más a pericarditis, embolia pulmonar o patología pleuropulmonar que a angina típica. La evaluación debe integrar ECG, constantes, exploración y probabilidad clínica."
59,Síntomas,"pericarditis aguda, ¿qué signos de alarma miro?","Sugiere pericarditis si el dolor es posicional, pleurítico y mejora al inclinarse hacia delante. Conviene hacer ECG, ecocardiograma y marcadores inflamatorios; si hay derrame importante o compromiso hemodinámico, ingreso.","La pericarditis aguda suele causar dolor torácico punzante que mejora al sentarse e inclinarse hacia delante, puede asociar roce pericárdico y elevación difusa del ST con descenso del PR. La presencia de derrame o inestabilidad cambia el manejo."
60,Síntomas,¿cuando me preocupo por disección aórtica?,"Piensa en disección si el dolor es brusco, máximo desde el inicio, con irradiación a espalda, síncope, déficit neurológico o diferencia de pulsos. No es un cuadro para “observar”: necesita imagen urgente y control hemodinámico.","La disección aórtica suele producir dolor torácico o dorsal súbito, muy intenso, desgarrador, con posible asimetría de pulsos, déficit neurológico o insuficiencia aórtica aguda. Requiere sospecha clínica alta e imagen urgente."
61,Síntomas,sintomas de embolia pulmonar,"Sospecha embolia si hay disnea brusca, dolor pleurítico, taquicardia, hipoxemia o síncope, sobre todo con factores de riesgo trombótico. La gravedad la marcan la hipotensión, el VD y los biomarcadores.","La embolia pulmonar puede presentarse con disnea súbita, dolor pleurítico, taquicardia, síncope o hipoxemia. La estratificación combina probabilidad clínica, dímero D cuando procede, imagen y valoración del ventrículo derecho."
62,Síntomas,"mi paciente dice que tiene insuficiencia cardiaca aguda, ¿puede ser cardiaco?","Los datos clave son disnea, ortopnea, crepitantes, edemas, yugulares altas y mala perfusión. Si hay hipoxemia, edema agudo de pulmón, hipotensión o confusión, es una urgencia.","La insuficiencia cardiaca aguda se manifiesta por disnea, ortopnea, crepitantes, edemas, ingurgitación yugular o hipoperfusión. La guía ESC recomienda valorar congestión, perfusión, desencadenantes y necesidad de oxígeno, diuréticos o soporte."
63,Síntomas,¿es normal que en edema agudo de pulmón no duela el pecho?,"Si el paciente está ahogado, con crepitantes difusos y saturación baja, piensa en edema agudo de pulmón. Hay que sentarlo, monitorizar, tratar congestión y valorar ventilación no invasiva si hay trabajo respiratorio.","El edema agudo de pulmón se caracteriza por disnea intensa, ortopnea, estertores difusos, hipoxemia y a veces expectoración espumosa. Suele requerir tratamiento urgente de congestión y soporte ventilatorio si hay insuficiencia respiratoria."
64,Síntomas,¿qué datos clínicos apuntan a shock cardiogénico?,"Los signos son hipotensión, piel fría, oliguria, confusión, lactato alto y congestión o bajo gasto. En un IAM con shock hay que activar manejo invasivo urgente y soporte hemodinámico.","El shock cardiogénico combina hipotensión persistente, signos de hipoperfusión y causa cardiaca como IAM extenso, arritmia o fallo ventricular. Es una situación tiempo-dependiente que requiere monitorización, vasopresores/inotrópicos y tratar la causa."
65,Síntomas,¿fibrilacion auricular síntomas necesita ECG ya?,"La FA puede dar palpitaciones “desordenadas”, falta de aire, cansancio, mareo o empeorar una IC. La confirmación necesita ECG con ritmo irregular sin ondas P organizadas.","La fibrilación auricular puede causar palpitaciones irregulares, disnea, fatiga, mareo, dolor torácico o descompensación de insuficiencia cardiaca. También puede ser asintomática y descubrirse en ECG o monitorización."
66,Síntomas,¿qué síntomas me hacen pensar en taquicardia supraventricular?,"Inicio y final bruscos, palpitación rápida y regular sugieren TSV. Si está estable se puede intentar maniobras vagales y ECG; si hay hipotensión, dolor isquémico o edema pulmonar, cardioversión.","Las taquicardias supraventriculares suelen producir palpitaciones bruscas de inicio y fin súbitos, a veces con mareo, disnea o dolor torácico. La tolerancia hemodinámica determina si se maneja con maniobras, fármacos o cardioversión."
67,Síntomas,"tengo un paciente con bradicardia sintomática, ¿qué busco?","Preocupa si hay síncope, mareo intenso, hipotensión, confusión o insuficiencia cardiaca. Hay que revisar fármacos frenadores, potasio, isquemia y valorar marcapasos si no hay causa reversible.","La bradicardia clínicamente relevante puede provocar síncope, presíncope, fatiga, disnea o signos de bajo gasto. Deben buscarse causas reversibles como fármacos, isquemia, alteraciones electrolíticas o trastornos de conducción."
68,Síntomas,¿cómo distingo síncope cardiaco de algo menos grave?,"Es de alarma si aparece con ejercicio, tumbado, con palpitaciones o dolor torácico, o si el ECG es anormal. En esos casos no basta con decir “vasovagal”: hay que estudiar causa cardiaca.","El síncope de posible origen cardiaco se sospecha si ocurre durante esfuerzo, en decúbito, con palpitaciones, dolor torácico, antecedente de cardiopatía o ECG anormal. Estos datos aumentan el riesgo y pueden requerir ingreso."
69,Síntomas,"síncope vasovagal, qué signos de alarma miro","Vasovagal suena más probable si hubo pródromos claros y desencadenante típico. Aun así, si hay cardiopatía, ECG anormal, síncope de esfuerzo o traumatismo importante, se maneja como alto riesgo.","El síncope reflejo suele tener pródromos como náuseas, calor, sudor frío, visión borrosa y desencadenantes como dolor, bipedestación prolongada o emociones. El ECG y la historia ayudan a excluir causas de alto riesgo."
70,Síntomas,¿cuando me preocupo por estenosis aórtica síntomas?,"La tríada clásica es disnea, angina y síncope, sobre todo con esfuerzo. Si una estenosis aórtica severa ya da síntomas, hay que derivar para valoración valvular, no solo ajustar medicación.","La estenosis aórtica severa se vuelve especialmente relevante cuando causa disnea, angina, síncope o insuficiencia cardiaca. La ecocardiografía confirma severidad, gradientes, área valvular y función ventricular."
71,Síntomas,sintomas de insuficiencia mitral aguda,"Sospecha insuficiencia mitral aguda si aparece edema pulmonar brusco con soplo nuevo, sobre todo tras infarto. Requiere eco urgente y manejo hospitalario especializado.","La insuficiencia mitral aguda puede provocar edema pulmonar, hipotensión y soplo nuevo, especialmente tras IAM por rotura de músculo papilar o endocarditis. El ecocardiograma urgente es clave."
72,Síntomas,"mi paciente dice que tiene endocarditis signos, ¿puede ser cardiaco?","Fiebre sin foco, soplo nuevo, embolias o bacteriemia persistente hacen pensar en endocarditis. Hay que tomar hemocultivos antes de antibiótico si es posible y pedir ecocardiografía.","La endocarditis infecciosa puede manifestarse con fiebre persistente, soplo nuevo, embolias, hemocultivos positivos o lesiones valvulares. En pacientes con prótesis valvular o dispositivos, el umbral de sospecha debe ser bajo."
73,Síntomas,¿es normal que en hipertension emergencia no duela el pecho?,"Lo importante no es solo “cuánto marca”, sino si hay daño agudo: dolor torácico, disnea, déficit neurológico, edema pulmonar, disección o fallo renal. Si lo hay, manejo urgente intravenoso y monitorizado.","La emergencia hipertensiva implica presión arterial muy elevada con daño agudo de órgano diana, como edema pulmonar, encefalopatía, SCA, disección aórtica o lesión renal aguda. No se define solo por el número de presión."
74,Síntomas,¿qué datos clínicos apuntan a hipertensión sintomas?,"La mayoría de hipertensos no nota nada. Si hay cefalea intensa, déficit neurológico, dolor torácico o disnea, hay que descartar emergencia hipertensiva y daño de órgano.","La hipertensión crónica suele ser asintomática y se diagnostica con mediciones repetidas, MAPA o AMPA. Cefalea, mareo o epistaxis no predicen de forma fiable la presión, pero obligan a buscar daño de órgano si son intensos."
75,Síntomas,¿hipotensión en cardiología necesita ECG ya?,"No mires solo la cifra: revisa conciencia, piel, diuresis, lactato, ECG y congestión. Si está mal perfundido, es una urgencia y hay que buscar causa reversible.","La hipotensión en un paciente cardiológico puede reflejar shock, arritmia, sangrado, sepsis, exceso de diuréticos o fármacos vasodilatadores. La prioridad es valorar perfusión, frecuencia, ECG y signos de congestión."
76,Síntomas,¿qué síntomas me hacen pensar en troponina elevada?,"Troponina alta no equivale automáticamente a cateterismo. Si hay clínica isquémica, cambios ECG y dinámica compatible, piensa en IAM; si no, busca lesión miocárdica por otras causas.","La troponina elevada indica lesión miocárdica, pero no siempre infarto tipo 1. Se interpreta con clínica, ECG, dinámica de ascenso/descenso y causas como taquiarritmia, IC, sepsis, embolia pulmonar o insuficiencia renal."
77,Síntomas,"tengo un paciente con dolor torácico con ECG normal, ¿qué busco?","Con ECG normal pero dolor compatible, no lo descartes. Repite ECG si cambia el dolor y usa troponinas seriadas; el contexto clínico manda.","Un ECG inicial normal no descarta SCA, especialmente si la clínica es sugestiva o el dolor es reciente. Las guías recomiendan repetir ECG y usar algoritmos de troponina de alta sensibilidad según disponibilidad."
78,Síntomas,¿cómo distingo palpitaciones con extrasístoles de algo menos grave?,"Muchas extrasístoles son benignas si no hay cardiopatía. Pero si hay síncope, dolor, disnea, mucha carga o cardiopatía estructural, conviene Holter y ecocardiograma.","Las extrasístoles suelen percibirse como saltos, pausas o golpes en el pecho. La gravedad depende de síntomas, carga arrítmica, cardiopatía estructural y hallazgos en ECG/Holter."
79,Síntomas,"QT largo síntomas, ¿qué signos de alarma miro?","Síncope con QT largo no es banal. Hay que revisar fármacos, potasio y magnesio, antecedentes familiares y evitar medicación que prolongue QT.","El QT largo puede predisponer a torsades de pointes, síncope y muerte súbita, especialmente con fármacos prolongadores del QT, hipopotasemia o antecedentes familiares. El ECG y la corrección de factores reversibles son esenciales."
80,Síntomas,¿cuando me preocupo por miocarditis?,"Piensa en miocarditis si hay dolor, troponina alta, arritmias o disnea tras cuadro viral, sobre todo en jóvenes. Hay que descartar SCA cuando toca y valorar eco/RM cardiaca.","La miocarditis puede dar dolor torácico, disnea, palpitaciones, síncope o insuficiencia cardiaca, a menudo tras infección viral. La elevación de troponina y cambios ECG pueden simular SCA."
81,Síntomas,sintomas de cardiomiopatía hipertrófica,"Síncope de esfuerzo, historia familiar de muerte súbita o palpitaciones en miocardiopatía hipertrófica son señales de alarma. Requiere evaluación especializada y estratificación de riesgo.","La miocardiopatía hipertrófica puede causar disnea, dolor torácico, síncope de esfuerzo o palpitaciones. El riesgo arrítmico se evalúa con historia familiar, síncope, grosor parietal, arritmias y otros marcadores."
82,Síntomas,"mi paciente dice que tiene dolor torácico en joven, puede ser cardiaco","En joven no todo es ansiedad. Si hay dolor opresivo, síncope, cocaína, antecedentes familiares, troponina alta o ECG anormal, se estudia como cardiológico.","En pacientes jóvenes, el dolor torácico puede ser musculoesquelético, pericarditis, miocarditis, SCA por drogas o anomalías coronarias. La edad baja no excluye patología cardiaca si hay signos de alarma."
