id,categoria,pregunta,respuesta,contexto
20,Medicamentos,¿Cuándo está contraindicado el enalapril?,En el embarazo y en la estenosis bilateral de arterias renales.,El enalapril está contraindicado en el embarazo y en la estenosis bilateral de arterias renales.
21,Medicamentos,¿Qué efectos adversos tiene el enalapril?,Tos seca e hiperpotasemia son los más frecuentes.,Los efectos adversos más frecuentes del enalapril son la tos seca y la hiperpotasemia.
22,Medicamentos,¿Cuál es la dosis del bisoprolol en insuficiencia cardíaca?,Dosis inicial de 1.25 mg al día titulando hasta 10 mg al día.,"La dosis inicial del bisoprolol en insuficiencia cardíaca es de 1.25 mg al día, titulando hasta 10 mg al día."
23,Medicamentos,¿Cuándo están contraindicados los betabloqueantes?,En el asma grave y el bloqueo auriculoventricular de segundo y tercer grado.,Los betabloqueantes están contraindicados en el asma grave y el bloqueo AV de segundo y tercer grado.
24,Medicamentos,¿Qué es la atorvastatina y cuál es su dosis?,Estatina para reducir el colesterol LDL en prevención cardiovascular. Dosis de 10 a 80 mg al día por la noche.,"La atorvastatina reduce el colesterol LDL y se usa en prevención cardiovascular primaria y secundaria. Las dosis van de 10 a 80 mg al día, administrada por la noche."
25,Medicamentos,¿Qué efectos adversos pueden producir las estatinas?,"Mialgias y, raramente, rabdomiólisis.","Las estatinas pueden producir mialgias y, raramente, rabdomiólisis."
26,Medicamentos,¿Cómo se usa la aspirina en cardiología?,A dosis de 100 mg al día como antiagregante de primera línea en prevención de eventos cardiovasculares.,La aspirina en dosis de 100 mg al día es el antiagregante de primera línea en prevención de eventos cardiovasculares.
27,Medicamentos,¿Qué es el clopidogrel y cuándo se usa?,"Antiagregante a dosis de 75 mg al día, alternativa o combinación con aspirina tras síndrome coronario agudo o implante de stent.",El clopidogrel se usa a dosis de 75 mg al día como alternativa o en combinación con aspirina tras síndrome coronario agudo o implante de stent.
28,Medicamentos,¿Qué ventaja tiene el ticagrelor sobre el clopidogrel?,Mayor potencia antiagregante. Se administra a 90 mg dos veces al día en el síndrome coronario agudo.,"El ticagrelor se administra a 90 mg dos veces al día en el síndrome coronario agudo, con mayor potencia antiagregante que el clopidogrel."
29,Medicamentos,¿Cómo se usa la furosemida en insuficiencia cardíaca?,Por vía oral de 20 a 500 mg al día. Por vía intravenosa en el edema agudo de pulmón a dosis de 40 a 80 mg en bolo.,La furosemida es el diurético de asa de elección en insuficiencia cardíaca. Las dosis orales van de 20 a 500 mg al día. Por vía intravenosa se usa en el edema agudo de pulmón a dosis de 40 a 80 mg en bolo.
30,Medicamentos,¿Qué es la espironolactona y para qué se usa en cardiología?,Diurético ahorrador de potasio que a dosis de 25 a 50 mg al día reduce la mortalidad en insuficiencia cardíaca con fracción de eyección reducida.,La espironolactona a dosis de 25 a 50 mg al día reduce la mortalidad en insuficiencia cardíaca con fracción de eyección reducida.
31,Medicamentos,¿Cómo se usa la amiodarona?,"Dosis de carga de 200 mg tres veces al día durante una semana, seguida de 200 mg al día de mantenimiento. Requiere monitorización tiroidea, hepática y pulmonar.","La amiodarona es el antiarrítmico más eficaz disponible. La dosis de carga es de 200 mg tres veces al día durante una semana, seguida de 200 mg al día de mantenimiento."
32,Medicamentos,¿Cómo se usa la nitroglicerina sublingual en la angina?,"0.4 mg sublingual, repetible cada 5 minutos hasta tres veces. Si el dolor persiste tras tres dosis, sospechar infarto agudo de miocardio.","La nitroglicerina sublingual se administra en la angina aguda a dosis de 0.4 mg, repetible cada 5 minutos hasta tres veces. Si el dolor persiste tras tres dosis, se debe sospechar infarto agudo de miocardio."
33,Medicamentos,¿Cuál es la dosis de digoxina y qué hay que vigilar?,De 0.125 a 0.25 mg al día. Requiere monitorización de niveles plasmáticos por su estrecho margen terapéutico.,La dosis habitual de digoxina es de 0.125 a 0.25 mg al día. Requiere monitorización de niveles plasmáticos por su estrecho margen terapéutico.
34,Medicamentos,¿Qué son el apixabán y el rivaroxabán?,Anticoagulantes orales de acción directa indicados en fibrilación auricular no valvular para prevenir el ictus. El apixabán se administra a 5 mg dos veces al día.,El apixabán y el rivaroxabán son anticoagulantes orales de acción directa indicados en la fibrilación auricular no valvular para prevenir el ictus. El apixabán se administra a 5 mg dos veces al día.
35,Protocolos,¿Cuál es el protocolo del síndrome coronario agudo sin elevación del ST?,"Aspirina 300 mg y clopidogrel 300 mg o ticagrelor 180 mg de carga, anticoagulación con heparina, monitorización continua, troponinas seriadas a las 0, 3 y 6 horas, y cateterismo según el riesgo.","El protocolo del SCASEST incluye: administrar aspirina 300 mg y clopidogrel 300 mg o ticagrelor 180 mg de carga, anticoagulación con heparina no fraccionada o enoxaparina, monitorización continua, troponinas seriadas a las 0, 3 y 6 horas, y cateterismo cardíaco urgente o diferido según el riesgo."
36,Protocolos,¿En cuánto tiempo debe realizarse la angioplastia primaria en el SCACEST?,En menos de 90 minutos desde el primer contacto médico.,En el SCACEST la reperfusión con angioplastia primaria debe realizarse en menos de 90 minutos desde el primer contacto médico.
37,Protocolos,¿Cómo se realiza la RCP básica?,30 compresiones torácicas por cada 2 ventilaciones a ritmo de 100-120 por minuto con una profundidad de 5 a 6 centímetros.,La reanimación cardiopulmonar comienza con 30 compresiones torácicas por cada 2 ventilaciones a ritmo de 100 a 120 compresiones por minuto con una profundidad de 5 a 6 centímetros.
38,Protocolos,¿Qué energía se usa en la desfibrilación?,200 julios bifásico.,"En el ritmo desfibrilable se aplica desfibrilación con 200 julios bifásico lo antes posible, seguida de dos minutos de RCP."
39,Protocolos,¿Qué dosis de adrenalina se usa en la parada cardiorrespiratoria?,1 mg intravenosa cada 3 a 5 minutos.,La adrenalina 1 mg intravenosa se administra cada 3 a 5 minutos en la parada cardiorrespiratoria.
40,Protocolos,¿Cuándo y cómo se usa la amiodarona en la RCP?,300 mg intravenosa en la fibrilación ventricular refractaria a tres choques.,La amiodarona 300 mg intravenosa se usa en la fibrilación ventricular refractaria a tres choques.
41,Protocolos,¿Cómo se maneja la fibrilación auricular de nueva aparición?,Control de frecuencia con betabloqueantes o digoxina por debajo de 110 lpm. Cardioversión eléctrica con 150-200 julios si hay inestabilidad hemodinámica.,El protocolo de manejo de la fibrilación auricular de nueva aparición incluye control de frecuencia cardíaca con betabloqueantes o digoxina para mantenerla por debajo de 110 latidos por minuto. La cardioversión eléctrica sincronizada se realiza con 150 a 200 julios bifásicos si hay inestabilidad hemodinámica.
42,Protocolos,¿Qué es la escala CHA2DS2-VASc?,Escala que calcula el riesgo embólico en pacientes con fibrilación auricular para decidir la anticoagulación.,El riesgo embólico en la fibrilación auricular se calcula con la escala CHA2DS2-VASc.
43,Protocolos,¿Cuándo debe iniciarse la anticoagulación antes de la cardioversión en FA?,Cuando la fibrilación auricular lleva más de 48 horas o se desconoce su duración.,La anticoagulación debe iniciarse antes de la cardioversión si la fibrilación auricular lleva más de 48 horas o se desconoce su duración.
44,Protocolos,¿Cuál es el protocolo de la insuficiencia cardíaca aguda descompensada?,"Posición semisentada, oxígeno para saturación superior al 94%, furosemida IV 40-80 mg, nitroglicerina IV si TAS mayor de 90 mmHg, y monitorización continua.","El protocolo de insuficiencia cardíaca aguda descompensada incluye posición semisentada, oxígeno para mantener saturación superior al 94%, furosemida intravenosa 40 a 80 mg, nitroglicerina intravenosa si la presión arterial sistólica es mayor de 90 mmHg, y monitorización continua."
45,Protocolos,¿Cómo se distingue la urgencia de la emergencia hipertensiva?,La urgencia hipertensiva es tensión mayor de 180/120 mmHg sin daño orgánico agudo. La emergencia hipertensiva incluye daño orgánico agudo y requiere reducción en menos de una hora.,La urgencia hipertensiva con presión arterial mayor de 180/120 mmHg sin daño orgánico agudo se trata con captopril 25 mg sublingual o labetalol oral. La emergencia hipertensiva con daño orgánico agudo requiere reducción de la presión arterial en menos de una hora.
46,Protocolos,¿Qué evalúa la escala GRACE en el síndrome coronario agudo?,"Edad, frecuencia cardíaca, presión arterial sistólica, creatinina, clase Killip, parada cardíaca al ingreso, desviación del ST y troponinas. Puntuación mayor de 140 indica alto riesgo.",La escala GRACE estratifica el riesgo en el síndrome coronario agudo. Una puntuación mayor de 140 indica alto riesgo y requiere cateterismo en menos de 24 horas.
47,Protocolos,¿Cuándo está indicado el implante de marcapasos definitivo?,"En el bloqueo auriculoventricular completo sintomático, el síndrome del seno enfermo con bradicardia sintomática y la bradicardia sinusal severa menor de 40 lpm sintomática.","El implante de marcapasos definitivo está indicado en el bloqueo auriculoventricular completo sintomático, el síndrome del seno enfermo con bradicardia sintomática y la bradicardia sinusal severa con frecuencia menor de 40 latidos por minuto sintomática."
48,Protocolos,¿Cuándo está indicado el desfibrilador automático implantable?,En pacientes con fracción de eyección menor del 35% a pesar de tratamiento médico óptimo durante al menos tres meses.,El desfibrilador automático implantable se indica en pacientes con fracción de eyección menor del 35% a pesar de tratamiento médico óptimo durante al menos tres meses.
49,Medicamentos,¿Cuál es la dosis de aspirina en el infarto agudo de miocardio?,"En el infarto agudo de miocardio se administran 300 mg de aspirina de carga, junto con ticagrelor 180 mg o clopidogrel 300 mg, más anticoagulación con heparina.","El protocolo del síndrome coronario agudo incluye: aspirina 300 mg y clopidogrel 300 mg o ticagrelor 180 mg de carga, anticoagulación con heparina no fraccionada o enoxaparina, y cateterismo cardíaco urgente según el riesgo."
50,Medicamentos,¿Qué dosis de aspirina se da en el síndrome coronario agudo?,300 mg de aspirina de carga combinada con ticagrelor 180 mg o clopidogrel 300 mg al inicio del síndrome coronario agudo.,"El protocolo del SCASEST incluye aspirina 300 mg y clopidogrel 300 mg o ticagrelor 180 mg de carga, más anticoagulación con heparina no fraccionada o enoxaparina."
51,Protocolos,¿Cómo se hace la reanimación cardiopulmonar RCP?,30 compresiones torácicas por cada 2 ventilaciones a 100-120 compresiones por minuto y 5-6 cm de profundidad. En fibrilación ventricular se desfibrilar con 200 julios.,La reanimación cardiopulmonar básica consiste en 30 compresiones torácicas por cada 2 ventilaciones a ritmo de 100 a 120 compresiones por minuto con una profundidad de 5 a 6 centímetros. En ritmo desfibrilable se aplica 200 julios bifásico.
52,Protocolos,¿Qué pasos seguir ante una parada cardiorrespiratoria?,"Iniciar compresiones torácicas 30:2, desfibrilar si hay fibrilación ventricular con 200 julios, adrenalina 1 mg cada 3-5 minutos y amiodarona 300 mg si refractaria a tres choques.","Ante parada cardiorrespiratoria: 30 compresiones por 2 ventilaciones, desfibrilación con 200 julios en ritmo desfibrilable, adrenalina 1 mg intravenosa cada 3 a 5 minutos, y amiodarona 300 mg en fibrilación ventricular refractaria a tres choques."
53,Medicamentos,dosis máxima del amlodipino,20 mg por día,La dosis máxima de Amlodipino es de 10 a 20 mg por día.
54,Síntomas,Sintomas de una insuficiencia cardiaca congestiva,"Disnea, fatiga al esfuerzo, edema de miembros inferiores","La insuficiencia cardiaca se caracteriza por una incapacidad del corazón para bombear la sangre. Esto provoca acumulación de líquido en los pulmones, en las piernas y los síntomas asociados como la disnea, los edemas y la fatiga."
55,Medicamentos,Dosis del Apixaban en la insuficiencia renal cronica,"2,5 mg dos veces al dia.","La dosis recomendada del Apixaban en la insuficiencia renal crónica es de 2,5 mg dos veces al día."
